export_value,weight,logistics_cost_rate,tax_rate,region_code
267212.25,1583.2,0.129,0.041,0
224991.45,4300.8,0.092,0.118,1
15371.31,3517.3,0.057,0.072,3
174645.77,2039.0,0.166,0.112,3
237042.12,427.7,0.154,0.075,0
10099.97,3676.9,0.139,0.047,0
167156.96,3103.6,0.063,0.079,1
258040.42,64.4,0.038,0.044,3
144860.11,96.6,0.124,0.099,1
6211.33,4053.5,0.12,0.035,3
8248.94,1334.0,0.054,0.093,3
127907.63,3198.9,0.03,0.136,3
50727.56,2298.4,0.035,0.131,0
201012.94,4324.0,0.199,0.136,3
214095.78,4589.0,0.161,0.141,3
57474.54,4984.2,0.186,0.043,3
267117.32,810.7,0.055,0.045,2
135362.81,4321.7,0.193,0.097,0
47139.54,1366.8,0.046,0.137,2
230454.22,2974.5,0.112,0.147,0
238042.48,2553.6,0.169,0.036,1
193592.16,139.0,0.083,0.073,2
256772.34,4667.2,0.096,0.056,1
222525.03,437.7,0.043,0.121,3
265250.69,3456.7,0.042,0.107,1
132996.97,3935.8,0.132,0.044,1
225541.15,3986.7,0.142,0.088,1
299926.71,720.7,0.16,0.112,1
218854.7,2265.5,0.12,0.123,0
38684.22,4155.7,0.136,0.032,2
157904.02,1548.3,0.022,0.137,0
178267.6,2365.4,0.049,0.098,0
56392.15,1400.3,0.197,0.127,0
289053.03,2344.6,0.034,0.127,1
56796.03,4444.8,0.142,0.053,0
57379.59,2302.9,0.052,0.043,2
274974.31,2801.8,0.149,0.117,0
142235.6,2049.7,0.147,0.049,3
23640.54,2327.6,0.062,0.132,1
181465.31,125.1,0.069,0.117,3
182538.77,1454.5,0.138,0.131,2
24027.72,2211.1,0.09,0.066,2
291894.14,3187.3,0.055,0.068,2
165488.84,2277.8,0.152,0.111,2
170139.74,1722.2,0.048,0.034,0
158434.05,1971.1,0.174,0.117,1
185165.87,1249.4,0.113,0.13,2
82968.43,4626.2,0.039,0.08,3
89736.2,2632.6,0.145,0.122,2
155845.03,116.4,0.113,0.051,1
242972.33,146.3,0.074,0.069,3
19710.05,4866.2,0.096,0.147,3
183004.24,1146.2,0.074,0.148,3
242999.55,4037.8,0.067,0.092,0
51290.6,338.5,0.049,0.142,2
9431.65,4609.8,0.085,0.093,0
97250.42,4378.4,0.065,0.065,3
178502.39,2876.9,0.143,0.062,0
45793.54,94.5,0.143,0.142,0
130706.1,1326.2,0.11,0.051,0
167934.84,2063.8,0.16,0.1,2
181670.51,2327.3,0.171,0.097,3
85951.46,1523.5,0.124,0.119,3
123008.74,213.1,0.131,0.09,2
234610.07,2971.1,0.071,0.063,0
282658.33,2644.6,0.181,0.05,0
259254.7,1450.9,0.024,0.104,1
171463.63,238.0,0.083,0.116,1
126036.38,4973.2,0.15,0.098,1
103222.2,2435.8,0.034,0.119,2
41862.19,3792.2,0.053,0.047,3
36432.62,2289.0,0.126,0.136,1
208065.5,263.7,0.121,0.1,3
81639.35,1582.5,0.153,0.045,3
80125.2,1634.5,0.166,0.085,3
299467.54,4199.8,0.043,0.131,2
60438.16,3288.4,0.023,0.138,2
48677.63,1413.4,0.144,0.062,2
34112.14,4840.3,0.074,0.115,2
176042.58,1641.6,0.133,0.042,1
190219.83,4991.3,0.047,0.034,0
112742.24,4981.0,0.104,0.097,0
162946.93,996.5,0.111,0.113,0
237577.86,1598.1,0.125,0.125,1
246340.73,2455.9,0.112,0.071,0
287584.06,3337.3,0.109,0.031,1
248159.06,2663.8,0.08,0.088,1
171628.22,4848.7,0.033,0.032,1
57998.8,3633.7,0.036,0.041,0
34430.25,1099.6,0.098,0.069,3
21081.01,570.2,0.084,0.082,0
201625.12,3457.6,0.113,0.064,0
243223.2,834.3,0.075,0.1,2
155061.77,3949.0,0.144,0.037,1
21140.68,1589.6,0.176,0.047,3
162963.82,1668.1,0.074,0.113,2
281046.03,103.5,0.055,0.047,3
181295.89,3520.0,0.041,0.107,3
243781.11,610.7,0.131,0.037,1
241045.03,3875.8,0.1,0.079,0
279978.08,2484.7,0.054,0.051,1
232217.49,3932.2,0.138,0.043,1
225571.65,2940.4,0.047,0.098,2
74060.29,458.0,0.12,0.141,1
22677.92,3840.0,0.115,0.037,0
157691.84,395.5,0.152,0.081,3
41708.09,2419.6,0.03,0.115,1
288847.78,903.1,0.18,0.086,3
90527.8,3774.1,0.147,0.127,1
256618.54,4562.4,0.059,0.052,3
119349.26,2792.9,0.053,0.145,1
100342.3,2659.4,0.098,0.076,2
280871.78,3831.6,0.167,0.071,3
112180.16,75.1,0.172,0.135,1
120134.93,4592.9,0.114,0.098,1
36297.07,1027.4,0.175,0.092,2
202781.77,4921.4,0.021,0.117,2
90207.63,3694.5,0.026,0.1,2
177753.23,3882.5,0.184,0.05,3
179448.75,3298.2,0.16,0.111,3
217163.91,2384.7,0.101,0.046,2
224846.24,2879.6,0.156,0.127,0
156763.47,279.7,0.192,0.149,0
102642.62,3138.6,0.159,0.075,1
252048.01,3149.2,0.172,0.083,0
96410.37,4461.4,0.157,0.036,1
154715.18,2553.0,0.05,0.032,3
123369.51,431.9,0.17,0.141,3
257248.12,1565.7,0.055,0.045,0
132415.97,3295.4,0.181,0.083,3
118899.26,1234.3,0.103,0.128,2
208497.99,1438.6,0.142,0.137,2
182720.13,4111.3,0.11,0.092,0
36637.82,2942.4,0.037,0.098,0
154909.8,2567.2,0.072,0.11,1
221966.12,1626.3,0.197,0.145,3
297662.06,3668.1,0.193,0.102,1
190598.32,1474.2,0.078,0.097,1
114236.45,3698.5,0.199,0.032,2
71714.72,397.0,0.172,0.04,2
262484.92,4329.5,0.13,0.099,2
245296.74,2522.9,0.027,0.142,2
74007.23,2220.6,0.182,0.134,1
64186.47,3074.6,0.12,0.148,2
215965.35,3139.8,0.176,0.093,3
97910.86,703.6,0.17,0.125,2
95387.65,3793.4,0.17,0.131,2
49925.62,1415.8,0.146,0.108,2
82872.78,4529.6,0.072,0.071,0
131114.73,4098.4,0.081,0.086,3
221187.31,1764.0,0.076,0.133,3
104210.89,4048.3,0.024,0.066,1
101938.28,1814.1,0.125,0.141,1
89049.41,549.7,0.146,0.058,2
146093.68,4811.3,0.174,0.12,0
58287.83,3280.4,0.045,0.106,1
148261.07,2307.7,0.118,0.12,1
212731.79,2019.0,0.021,0.082,2
13788.2,1657.3,0.037,0.142,2
7884.92,4908.2,0.03,0.106,1
27161.26,717.0,0.151,0.065,1
163019.72,1608.3,0.035,0.107,3
257064.25,2453.2,0.149,0.064,0
6440.92,2416.1,0.065,0.065,3
281315.08,2383.3,0.178,0.078,1
36352.16,920.1,0.166,0.132,3
253385.14,767.4,0.192,0.09,3
