ctry_code,hs_code,ymd,export_val,import_val,weight
410,8596,2022-10-20,69316892,49957024,1826.7
410,8567,2025-02-26,140952168,125334279,215.8
410,8546,2024-07-24,57940873,96426643,976.8
410,8510,2025-04-13,116378775,25809028,2151.0
410,8584,2024-10-13,43131160,22491763,2289.0
410,8537,2024-08-16,150990315,38753530,2690.5
410,8524,2021-02-11,166706055,74517598,2739.3
410,8578,2023-10-11,59157542,44927768,1095.9
410,8796,2023-07-03,52533359,131933232,630.2
410,8757,2022-09-07,45394180,82304631,2067.7
410,8741,2024-01-24,15136446,122927864,1040.3
410,8764,2021-10-19,159320096,22066149,434.4
410,8762,2024-04-04,184822547,123399216,1094.5
410,8750,2022-06-02,135747728,102718001,1904.8
410,8748,2025-06-26,91657789,133755108,1730.0
410,8782,2021-05-02,138663750,101469742,2940.9
410,7267,2022-03-20,55729929,34318280,2578.4
410,7291,2024-12-07,44331992,12666948,1741.6
410,7241,2022-11-17,190614043,36660510,1891.1
410,7227,2021-09-18,144489877,39315700,2172.2
410,7238,2025-04-18,92091019,15238306,2699.5
410,7284,2023-03-18,119612675,17010132,99.9
410,7291,2022-04-26,2401540,121018910,276.5
410,7287,2021-12-20,183247055,75928452,2395.6
410,8478,2025-09-10,33582062,45614045,345.5
410,8485,2025-03-26,76284805,14171148,1059.6
410,8471,2023-04-25,142083889,136009038,456.3
410,8496,2021-02-22,12268485,18936344,1763.3
410,8411,2022-05-26,13573436,92060086,2952.0
410,8498,2022-05-07,26434557,87753379,934.6
410,8412,2022-09-24,86981389,119662217,1806.5
410,8451,2024-01-04,121256579,94872783,1281.3
156,8594,2024-08-20,4317638,131156605,747.6
156,8539,2022-09-15,191989398,127885628,2598.2
156,8514,2023-08-19,2715181,3975966,1780.5
156,8571,2023-02-10,150358288,112216554,479.3
156,8592,2021-07-07,118097816,32403701,748.3
156,8578,2021-10-05,52401785,130184729,2024.3
156,8532,2021-11-18,41647037,94393591,1108.3
156,8548,2021-10-16,97691235,85311916,2754.4
156,8755,2022-06-10,144021153,88349089,1502.5
156,8783,2021-07-26,183053587,50975615,2859.2
156,8748,2024-03-14,109045148,20277711,1158.7
156,8759,2021-05-09,37144652,46056965,199.9
156,8761,2022-09-13,186782510,139957728,419.4
156,8712,2022-08-27,133615053,43525206,1778.1
156,8776,2022-07-09,35782212,97556517,774.1
156,8777,2025-01-27,1968813,62489059,346.3
156,7250,2022-05-13,81972787,33884162,1623.3
156,7220,2022-03-16,56975628,62257964,741.3
156,7252,2022-01-19,68362869,2056680,2056.7
156,7235,2025-03-26,158226566,92827321,182.3
156,7276,2022-02-09,125125001,20969709,391.5
156,7236,2022-11-06,104526160,6529884,288.0
156,7226,2023-08-26,187362172,124004691,2384.4
156,7255,2025-09-21,190499755,8429161,492.2
156,8497,2021-07-14,4376856,144094649,181.5
